External Library Name, Link to License, License Name, Binaries using the license, URL
abseil, https://android.googlesource.com/platform/external/abseil-cpp/+/refs/heads/emu-master-dev/LICENSE, Apache-2, abseil_dll.so, https://android.googlesource.com/platform/external/abseil-cpp/+/refs/heads/emu-master-dev
libjpeg, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/NOTICE, IJG, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so ./qemu-img gfxstream_backend.so ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/
boringssl, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master/NOTICE, OpenSSL, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel android-emu-curl.so ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so ./crashreport android-emu-metrics.so ./qemu-img gfxstream_backend.so ./emulator ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master
LibXml2, https://github.com/GNOME/libxml2/blob/mainline/Copyright, MIT, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so android-emu-metrics.so ./qemu-img gfxstream_backend.so ./emulator ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libxml2-2.9.2.tar.gz
libpng, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev/LICENSE, libpng, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so ./qemu-img gfxstream_backend.so ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev
e2fs, http://www.linfo.org/e2fsprogs.html, GPL-2.0-only, bin64/resize2fs bin64/e2fsck bin64/tune2fs bin64/mkfs.ext4 ./emulator bin64/fsck.ext4, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/e2fsprogs-1.42.13-patches.tar.xz
qemu, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSE, GPL-2.0-only, ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
libcurl, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev/NOTICE, curl, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel android-emu-curl.so ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so android-emu-metrics.so ./qemu-img gfxstream_backend.so ./emulator ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev
vulkan-sdk, https://vulkan.lunarg.com/software/license/vulkan-1.2.162.1-linux-license-summary.txt, Apache-2.0, ./emulator, https://vulkan.lunarg.com/sdk/home
Qt SvgWidgets, https://doc.qt.io/qt-6.5/qtSvgWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
angle, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, gfxstream_backend.so, https://chromium.googlesource.com/angle/angle
libvpx, https://chromium.googlesource.com/webm/libvpx/+/refs/heads/master/LICENSE, BSD-3-Clause, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so ./qemu-img gfxstream_backend.so ./emulator-check ./nimble_bridge, https://chromium.googlesource.com/webm/libvpx/
picosha2, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/LICENSE, MIT, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so android-emu-metrics.so ./qemu-img gfxstream_backend.so ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/
upb_json_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so ./qemu-img gfxstream_backend.so ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
ffmpeg, https://github.com/FFmpeg/FFmpeg/blob/master/LICENSE.md, GPL-2.0-or-later, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so ./qemu-img gfxstream_backend.so ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/ffmpeg-3.4.5.tar.xz
tcmalloc, https://chromium.googlesource.com/external/github.com/gperftools/gperftools/+/refs/heads/master/COPYING, BSD-3-Clause, ./emulator lib64/libtcmalloc_minimal.so.4, https://chromium.googlesource.com/external/github.com/gperftools/gperftools/+/refs/heads/master
Qt Svg, https://doc.qt.io/qt-6.5/qtSvg-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
libunwind, https://github.com/libunwind/libunwind/blob/master/COPYING, MIT, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel android-emu-curl.so ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so android-emu-agents.so ./crashreport android-emu-metrics.so ./qemu-img gfxstream_backend.so ./emulator ./emulator-check ./nimble_bridge, https://github.com/libunwind/libunwind/releases/tag/v1.3.1
breakpad, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev/LICENSE, BSD-3-Clause, ./qemu/linux-aarch64/qemu-system-armel ./crashreport ./qemu/linux-aarch64/qemu-system-aarch64, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev
dtc, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/README.license, GPL-2.0-or-later, ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qemu/linux-aarch64/qemu-system-aarch64, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/
pixman-1, https://gitlab.freedesktop.org/pixman/pixman/blob/master/COPYING, MIT, ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qemu/linux-aarch64/qemu-system-aarch64, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/pixman-0.34.0.tar.gz
gtest, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master/LICENSE, BSD3, ./emulator, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master
nlohmann_json, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/NOTICE, MIT, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so ./crashreport ./qemu-img gfxstream_backend.so ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/
hostapd, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev/NOTICE, BSD, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so ./qemu-img gfxstream_backend.so ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev
mynewt-nimble, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/mynewt-nimble/LICENSE, Apache=2.0, ./nimble_bridge, 
swiftshader, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev/LICENSE.txt, Apache-2.0, lib64/gles_swiftshader/libGLES_CM.so ./emulator lib64/gles_swiftshader/libEGL.so lib64/gles_swiftshader/libGLESv2.so, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev
bios, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/README, LGPL-2.0-or-later, ./emulator, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/
keymaster-3, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3/NOTICE, Apache-2.0, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so ./qemu-img gfxstream_backend.so ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3
libwebp, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp/LICENSE, BSD-3-Clause, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so ./qemu-img gfxstream_backend.so ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp
utf8_range_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so ./qemu-img gfxstream_backend.so ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
libstdc++, https://android.googlesource.com/toolchain/clang/+/refs/heads/master/LICENSE.TXT, LLVM-exception, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn lib64/libstdc++.so.6 ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 ./mksdcard ./crashreport ./qemu-img lib64/libstdc++.so.6.0.28 ./emulator ./emulator-check ./nimble_bridge, https://packages.debian.org/sid/crossbuild-essential-arm64
address_sorting, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so ./qemu-img gfxstream_backend.so ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
flatbuffers, Apache-2.0, Apache-2.0, ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qemu/linux-aarch64/qemu-system-aarch64, https://github.com/google/flatbuffers
libselinux, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libselinux/NOTICE, CC-PDDC OR UNKNOWN, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so android-emu-agents.so ./crashreport android-emu-metrics.so ./qemu-img gfxstream_backend.so ./emulator ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libselinux
grpc, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so ./qemu-img gfxstream_backend.so ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
qemu-system, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSES/LICENSE.APACHE2, Apache-2.0, ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
Tink, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master/LICENSE, Apache-2.0, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64-headless ./emulator-check ./qemu/linux-aarch64/qemu-system-aarch64 ./nimble_bridge, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master
Qt Widgets, https://doc.qt.io/qt-6.5/qtWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
upb_collections_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so ./qemu-img gfxstream_backend.so ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
upb_textformat_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so ./qemu-img gfxstream_backend.so ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
uuid, https://spdx.org/licenses/BSD-3-Clause.html, BSD-3-Clause, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel android-emu-curl.so ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so android-emu-agents.so ./crashreport android-emu-metrics.so ./qemu-img gfxstream_backend.so ./emulator ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libuuid1-2.25.2-2.tar.xz
protobuf, BSD-3-Clause, BSD-3-Clause, libprotobuf.so ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so ./crashreport android-emu-tracing.so gfxstream_backend.so ./emulator ./emulator-check ./nimble_bridge ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-aarch64-headless android-emu-protos.so android-emu-metrics.so ./qemu-img, 
gpr, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so ./qemu-img gfxstream_backend.so ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
Qt Gui, https://doc.qt.io/qt-6.5/qtGui-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
gfxstream, https://android.googlesource.com/platform/hardware/google/gfxstream/+/refs/heads/master/LICENSE, Apache-2.0, ./qemu/linux-aarch64/qemu-system-armel-headless ./qsn android-emu-shared.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-armel android-emu-curl.so ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so android-emu-agents.so ./crashreport android-emu-metrics.so ./qemu-img gfxstream_backend.so ./emulator ./emulator-check ./nimble_bridge, https://android.googlesource.com/platform/hardware/google/gfxstream/+/refs/heads/master
